iter	Passed	Remaining
0	1	131
1	2	133
2	4	130
3	5	120
4	6	120
5	7	118
6	8	119
7	10	120
8	11	119
9	13	117
10	14	115
11	15	115
12	17	114
13	18	115
14	20	114
15	21	112
16	22	111
17	24	110
18	25	109
19	26	107
20	28	105
21	29	103
22	30	102
23	31	100
24	33	99
25	34	97
26	35	96
27	36	94
28	38	93
29	39	91
30	40	89
31	41	88
32	42	86
33	44	85
34	45	83
35	46	82
36	47	81
37	49	80
38	50	79
39	51	77
40	53	76
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	61	66
48	62	64
49	63	63
50	64	62
51	66	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	82	42
66	83	40
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	122	1
99	123	0
